energy_eV,dos,integrated_dos
-16.459,0.3034E-29,0.2000E+01
-16.439,0.6174E-29,0.2000E+01
-16.419,0.1959E-28,0.2000E+01
-16.399,0.6485E-28,0.2000E+01
-16.379,0.2135E-27,0.2000E+01
-16.359,0.6953E-27,0.2000E+01
-16.339,0.2241E-26,0.2000E+01
-16.319,0.7143E-26,0.2000E+01
-16.299,0.2253E-25,0.2000E+01
-16.279,0.7028E-25,0.2000E+01
-16.259,0.2169E-24,0.2000E+01
-16.239,0.6622E-24,0.2000E+01
-16.219,0.2000E-23,0.2000E+01
-16.199,0.5976E-23,0.2000E+01
-16.179,0.1766E-22,0.2000E+01
-16.159,0.5164E-22,0.2000E+01
-16.139,0.1494E-21,0.2000E+01
-16.119,0.4274E-21,0.2000E+01
-16.099,0.1210E-20,0.2000E+01
-16.079,0.3388E-20,0.2000E+01
-16.059,0.9386E-20,0.2000E+01
-16.039,0.2572E-19,0.2000E+01
-16.019,0.6973E-19,0.2000E+01
-15.999,0.1870E-18,0.2000E+01
-15.979,0.4961E-18,0.2000E+01
-15.959,0.1302E-17,0.2000E+01
-15.939,0.3381E-17,0.2000E+01
-15.919,0.8683E-17,0.2000E+01
-15.899,0.2206E-16,0.2000E+01
-15.879,0.5545E-16,0.2000E+01
-15.859,0.1379E-15,0.2000E+01
-15.839,0.3391E-15,0.2000E+01
-15.819,0.8252E-15,0.2000E+01
-15.799,0.1986E-14,0.2000E+01
-15.779,0.4730E-14,0.2000E+01
-15.759,0.1114E-13,0.2000E+01
-15.739,0.2597E-13,0.2000E+01
-15.719,0.5987E-13,0.2000E+01
-15.699,0.1365E-12,0.2000E+01
-15.679,0.3080E-12,0.2000E+01
-15.659,0.6875E-12,0.2000E+01
-15.639,0.1518E-11,0.2000E+01
-15.619,0.3315E-11,0.2000E+01
-15.599,0.7163E-11,0.2000E+01
-15.579,0.1531E-10,0.2000E+01
-15.559,0.3237E-10,0.2000E+01
-15.539,0.6772E-10,0.2000E+01
-15.519,0.1401E-09,0.2000E+01
-15.499,0.2868E-09,0.2000E+01
-15.479,0.5809E-09,0.2000E+01
-15.459,0.1164E-08,0.2000E+01
-15.439,0.2306E-08,0.2000E+01
-15.419,0.4521E-08,0.2000E+01
-15.399,0.8768E-08,0.2000E+01
-15.379,0.1682E-07,0.2000E+01
-15.359,0.3193E-07,0.2000E+01
-15.339,0.5994E-07,0.2000E+01
-15.319,0.1113E-06,0.2000E+01
-15.299,0.2046E-06,0.2000E+01
-15.279,0.3718E-06,0.2000E+01
-15.259,0.6686E-06,0.2000E+01
-15.239,0.1189E-05,0.2000E+01
-15.219,0.2093E-05,0.2000E+01
-15.199,0.3643E-05,0.2000E+01
-15.179,0.6274E-05,0.2000E+01
-15.159,0.1069E-04,0.2000E+01
-15.139,0.1801E-04,0.2000E+01
-15.119,0.3003E-04,0.2000E+01
-15.099,0.4952E-04,0.2000E+01
-15.079,0.8080E-04,0.2000E+01
-15.059,0.1304E-03,0.2000E+01
-15.039,0.2082E-03,0.2000E+01
-15.019,0.3289E-03,0.2000E+01
-14.999,0.5139E-03,0.2000E+01
