energy_eV,dos,integrated_dos
-18.050,0.1983E-58,0.2000E+01
-18.030,0.3539E-59,0.2000E+01
-18.010,0.6247E-60,0.2000E+01
-17.990,0.1091E-60,0.2000E+01
-17.970,0.1885E-61,0.2000E+01
-17.950,0.3222E-62,0.2000E+01
-17.930,0.5447E-63,0.2000E+01
-17.910,0.9111E-64,0.2000E+01
-17.890,0.1508E-64,0.2000E+01
-17.870,0.2468E-65,0.2000E+01
-17.850,0.3996E-66,0.2000E+01
-17.830,0.6400E-67,0.2000E+01
-17.810,0.1014E-67,0.2000E+01
-17.790,0.1590E-68,0.2000E+01
-17.770,0.2466E-69,0.2000E+01
-17.750,0.3782E-70,0.2000E+01
-17.730,0.5740E-71,0.2000E+01
-17.710,0.8618E-72,0.2000E+01
-17.690,0.1280E-72,0.2000E+01
-17.670,0.1880E-73,0.2000E+01
-17.650,0.2733E-74,0.2000E+01
-17.630,0.3930E-75,0.2000E+01
-17.610,0.5589E-76,0.2000E+01
-17.590,0.7865E-77,0.2000E+01
-17.570,0.1095E-77,0.2000E+01
-17.550,0.1507E-78,0.2000E+01
-17.530,0.2053E-79,0.2000E+01
-17.510,0.2767E-80,0.2000E+01
-17.490,0.3689E-81,0.2000E+01
-17.470,0.4870E-82,0.2000E+01
-17.450,0.6398E-83,0.2000E+01
-17.430,0.8706E-84,0.2000E+01
-17.410,0.1562E-84,0.2000E+01
-17.390,0.6485E-85,0.2000E+01
-17.370,0.5739E-85,0.2000E+01
-17.350,0.5739E-85,0.2000E+01
-17.330,0.5739E-85,0.2000E+01
-17.310,0.5739E-85,0.2000E+01
-17.290,0.5739E-85,0.2000E+01
-17.270,0.5739E-85,0.2000E+01
-17.250,0.5739E-85,0.2000E+01
-17.230,0.5739E-85,0.2000E+01
-17.210,0.5739E-85,0.2000E+01
-17.190,0.5739E-85,0.2000E+01
-17.170,0.5739E-85,0.2000E+01
-17.150,0.5739E-85,0.2000E+01
-17.130,0.5739E-85,0.2000E+01
-17.110,0.5739E-85,0.2000E+01
-17.090,0.5739E-85,0.2000E+01
-17.070,0.5739E-85,0.2000E+01
-17.050,0.5739E-85,0.2000E+01
-17.030,0.5739E-85,0.2000E+01
-17.010,0.5739E-85,0.2000E+01
-16.990,0.5739E-85,0.2000E+01
-16.970,0.5739E-85,0.2000E+01
-16.950,0.5739E-85,0.2000E+01
-16.930,0.5739E-85,0.2000E+01
-16.910,0.5739E-85,0.2000E+01
-16.890,0.5739E-85,0.2000E+01
-16.870,0.5739E-85,0.2000E+01
-16.850,0.5739E-85,0.2000E+01
-16.830,0.5739E-85,0.2000E+01
-16.810,0.5739E-85,0.2000E+01
-16.790,0.5739E-85,0.2000E+01
-16.770,0.5739E-85,0.2000E+01
-16.750,0.5739E-85,0.2000E+01
