energy_eV,dos,integrated_dos
-20.226,0.6886E-85,0.2000E+01
-20.206,0.6886E-85,0.2000E+01
-20.186,0.6886E-85,0.2000E+01
-20.166,0.6886E-85,0.2000E+01
-20.146,0.6886E-85,0.2000E+01
-20.126,0.6886E-85,0.2000E+01
-20.106,0.6886E-85,0.2000E+01
-20.086,0.6886E-85,0.2000E+01
-20.066,0.6886E-85,0.2000E+01
-20.046,0.6886E-85,0.2000E+01
-20.026,0.6886E-85,0.2000E+01
-20.006,0.6886E-85,0.2000E+01
-19.986,0.6886E-85,0.2000E+01
-19.966,0.6886E-85,0.2000E+01
-19.946,0.6886E-85,0.2000E+01
-19.926,0.6886E-85,0.2000E+01
-19.906,0.6886E-85,0.2000E+01
-19.886,0.6886E-85,0.2000E+01
-19.866,0.6886E-85,0.2000E+01
-19.846,0.6886E-85,0.2000E+01
-19.826,0.6886E-85,0.2000E+01
-19.806,0.6886E-85,0.2000E+01
-19.786,0.6886E-85,0.2000E+01
-19.766,0.6886E-85,0.2000E+01
-19.746,0.6886E-85,0.2000E+01
-19.726,0.6886E-85,0.2000E+01
-19.706,0.6886E-85,0.2000E+01
-19.686,0.6886E-85,0.2000E+01
-19.666,0.6886E-85,0.2000E+01
-19.646,0.6886E-85,0.2000E+01
-19.626,0.6886E-85,0.2000E+01
-19.606,0.6886E-85,0.2000E+01
-19.586,0.6886E-85,0.2000E+01
-19.566,0.7361E-85,0.2000E+01
-19.546,0.1463E-84,0.2000E+01
-19.526,0.7152E-84,0.2000E+01
-19.506,0.5122E-83,0.2000E+01
-19.486,0.3889E-82,0.2000E+01
-19.466,0.2948E-81,0.2000E+01
-19.446,0.2214E-80,0.2000E+01
-19.426,0.1645E-79,0.2000E+01
-19.406,0.1209E-78,0.2000E+01
-19.386,0.8790E-78,0.2000E+01
-19.366,0.6322E-77,0.2000E+01
-19.346,0.4499E-76,0.2000E+01
-19.326,0.3167E-75,0.2000E+01
-19.306,0.2205E-74,0.2000E+01
-19.286,0.1519E-73,0.2000E+01
-19.266,0.1035E-72,0.2000E+01
-19.246,0.6978E-72,0.2000E+01
-19.226,0.4654E-71,0.2000E+01
-19.206,0.3070E-70,0.2000E+01
-19.186,0.2004E-69,0.2000E+01
-19.166,0.1294E-68,0.2000E+01
-19.146,0.8262E-68,0.2000E+01
-19.126,0.5220E-67,0.2000E+01
-19.106,0.3263E-66,0.2000E+01
-19.086,0.2017E-65,0.2000E+01
-19.066,0.1234E-64,0.2000E+01
-19.046,0.7466E-64,0.2000E+01
-19.026,0.4469E-63,0.2000E+01
-19.006,0.2647E-62,0.2000E+01
-18.986,0.1550E-61,0.2000E+01
-18.966,0.8984E-61,0.2000E+01
-18.946,0.5150E-60,0.2000E+01
-18.926,0.2921E-59,0.2000E+01
-18.906,0.1639E-58,0.2000E+01
-18.886,0.9094E-58,0.2000E+01
-18.866,0.4993E-57,0.2000E+01
-18.846,0.2712E-56,0.2000E+01
-18.826,0.1457E-55,0.2000E+01
-18.806,0.7745E-55,0.2000E+01
-18.786,0.4072E-54,0.2000E+01
-18.766,0.2118E-53,0.2000E+01
-18.746,0.1090E-52,0.2000E+01
-18.726,0.5548E-52,0.2000E+01
-18.706,0.2794E-51,0.2000E+01
-18.686,0.1392E-50,0.2000E+01
